name,hazardous,min_diameter_km,max_diameter_km,velocity_kph,miss_distance_km,orbiting_body
4183 Cuno (1959 LM),True,3.9134066315,8.7506432516,64644.5647929481,11911798.450821063,Mars
4197 Morpheus (1982 TA),False,2.6825941712,5.9984629228,102825.7418727533,26640611.380989283,Earth
4257 Ubasti (1987 QA),False,1.7082639526,3.8197943216,81454.5220367293,5900843.521663036,Mars
4341 Poseidon (1987 KF),False,1.6164228334,3.6144313359,66353.3110264709,13539065.90206942,Venus
4401 Aditi (1985 TB),False,1.5869197917,3.5484605292,64479.1659029158,55084708.62027917,Earth
4450 Pan (1987 SY),True,0.930154254,2.0798881414,77122.7497562692,14855009.130565183,Venus
4486 Mithra (1987 SB),True,2.0070351411,4.4878670088,79937.7172743942,26278354.244628202,Earth
4487 Pocahontas (1987 UA),False,0.8483107619,1.8968805296,0.0,0.0,UNKNOWN
4503 Cleobulus (1989 WM),False,1.8220277059,4.0741778073,16637.0806834172,203480043.4725798,Juptr
4544 Xanthus (1989 FB),False,0.8923905787,1.9954459964,29616.6965665098,9723900.236009182,Venus
4581 Asclepius (1989 FC),True,0.1890405519,0.4227075246,45510.4484717792,16533200.938423863,Venus
4596 (1981 QB),False,1.3631855586,3.0481755751,88491.390213978,60342675.162214346,Earth
4660 Nereus (1982 DB),True,0.4726666672,1.0569147985,19961.5141789709,3111379.539567199,Earth
4688 (1980 WF),False,0.3195618867,0.7145621017,57458.0158972366,59574121.70004968,Earth
4769 Castalia (1989 PB),True,0.8680704579,1.9410645532,56391.40723946,9859361.212012691,Venus
4947 Ninkasi (1988 TJ1),False,0.6435095206,1.4389310323,30454.3019641354,33358078.244469833,Earth
4953 (1990 MU),True,2.7832676807,6.2235757337,68455.1106378083,18036380.083102703,Venus
4954 Eric (1990 SQ),False,8.2140052596,18.3670741281,45096.7453755905,10542556.208965747,Mars
4957 Brucemurray (1990 XJ),False,2.5267075415,5.6498898221,55183.3323026134,11941824.20938919,Mars
5011 Ptah (6743 P-L),True,1.214940408,2.7166893409,55202.5859409122,6011396.482231119,Mars
5131 (1990 BG),False,2.8744514425,6.4274688236,92816.1782603266,57570319.14765234,Earth
5143 Heracles (1991 VL),False,4.0790119403,9.1209479795,21807.3492929715,270323268.9308498,Juptr
5189 (1990 UQ),True,0.7187121332,1.607089186,39386.5977363408,5402908.38766844,Mars
5324 Lyapunov (1987 SL),False,2.2623249055,5.058712276,44615.1419276587,27428041.281907987,Earth
5332 Davidaguilar (1990 DA),False,2.6949764633,6.0261505697,0.0,0.0,UNKNOWN
5370 Taranis (1986 RA),False,2.3908645717,5.3461357073,47562.8907134484,19827641.581375834,Earth
5381 Sekhmet (1991 JY),False,1.2038017674,2.6917825833,83186.5722065089,19772812.017248522,Earth
5496 (1973 NA),False,1.5651464359,3.4997738255,137212.7488058387,11447613.613563983,Earth
5587 (1990 SB),False,4.431543091,9.9092315966,12816.2993334355,294494433.6099226,Juptr
5590 (1990 VA),False,0.2770479727,0.6194981001,46599.5205997074,4838845.235615849,Venus
5604 (1992 FE),True,0.8882904164,1.9862777548,53557.6578926263,15099448.370037582,Earth
5620 Jasonwheeler (1990 OA),False,1.0059003902,2.249261651,0.0,0.0,UNKNOWN
5626 Melissabrucker (1991 FE),False,3.602093458,8.0545258335,34036.9587788996,6958019.729807791,Mars
5645 (1990 SP),False,0.9518203298,2.1283349598,68406.7528646006,53640272.9089613,Earth
5646 (1990 TR),False,2.1016237932,4.6993736648,18500.5154889792,45575273.207163244,Earth
5653 Camarillo (1992 WD5),False,1.5154966357,3.3887534971,31398.2282080586,14848702.95203363,Mars
5660 (1974 MA),False,2.2312846442,4.9893041415,134061.6690835837,47210761.345604055,Earth
5693 (1993 EA),True,1.1709948272,2.6184240349,91186.1940440056,20577254.412340436,Venus
5731 Zeus (1988 VP4),False,2.1406958967,4.7867415442,63866.7708169831,35197879.9580991,Earth
5751 Zao (1992 AC),False,2.7324673204,6.1099826748,0.0,0.0,UNKNOWN
5786 Talos (1991 RC),False,0.9875406389,2.2082079992,0.0,0.0,UNKNOWN
5797 Bivoj (1980 AA),False,0.4431543091,0.9909231597,23566.4196796821,15718713.031401664,Earth
5828 (1991 AM),False,1.7082639526,3.8197943216,0.0,0.0,UNKNOWN
5836 (1993 MF),False,2.6702687706,5.9709024892,8910.6003372428,263006695.59930936,Juptr
5863 Tara (1983 RB),False,1.8053232555,4.0368255207,47641.1715547628,36078130.78957755,Earth
5869 Tanith (1988 VN4),False,0.9562137328,2.1381589077,34859.9564357334,49353730.742360115,Earth
5879 Almeria (1992 CH1),False,0.7990150812,1.7866520367,41877.7806416213,25530591.236205515,Earth
6037 (1988 EG),True,0.4493191996,1.004708274,36707.6487448541,24873142.137397967,Earth
6047 (1991 TB1),False,0.7187121332,1.607089186,76660.0150309794,68292739.43384267,Earth
6050 Miwablock (1992 AE),False,2.7324673204,6.1099826748,24146.6175955972,10870276.193712682,Mars
6053 (1993 BW3),False,2.5383702936,5.6759685287,56804.5616452664,5710526.697186458,Mars
6063 Jason (1984 KB),False,1.6617090174,3.7156943217,106963.8330020144,21335026.356014196,Venus
6178 (1986 DA),False,1.9167036797,4.2858797205,35723.5889256923,59764337.20188891,Earth
6239 Minos (1989 QF),True,0.5088092249,1.1377320144,67001.0413598028,29226848.45186456,Earth
6455 (1992 HE),False,4.041615334,9.0373266258,0.0,0.0,UNKNOWN
6456 Golombek (1992 OM),False,1.6313794097,3.6478752572,15500.0513389748,64732081.018704765,Earth
6489 Golevka (1991 JX),True,0.3806755436,0.8512163929,42274.3614137096,12929666.158086961,Mars
6491 (1991 OA),True,0.4792421155,1.071617948,21485.4831962423,21995931.58449278,Earth
6569 Ondaatje (1993 MO),False,1.2547435637,2.8056919027,42519.5585528749,67373996.9656947,Earth
6611 (1993 VW),False,1.1390819672,2.5470647106,48120.1813272449,19339112.712653227,Earth
7025 (1993 QA),False,0.6435095206,1.4389310323,51029.2348546453,62034342.86588092,Earth
7088 Ishtar (1992 AA),False,1.1390819672,2.5470647106,17212.4363619469,35509713.6064784,Earth
7092 Cadmus (1992 LC),False,2.5150983749,5.6239309364,77797.5433988944,19256887.48507005,Earth
7236 (1987 PA),False,0.5761757511,1.2883681464,38371.3590827297,26499860.609342787,Earth
7335 (1989 JA),True,0.7665755735,1.7141150923,53780.4619486362,9668051.52143271,Earth
7336 Saunders (1989 RS1),False,0.4619074603,1.0328564805,19489.7912346926,29293055.816632804,Earth
7341 (1991 VK),True,1.0778416872,2.4101272816,46199.5579348024,19205793.738791525,Earth
7350 (1993 VA),False,0.9830033019,2.1980622051,19877.7828632458,20604719.399449263,Venus
7358 Oze (1995 YA3),False,3.0238133257,6.7614521476,18996.9728116708,18502379.467723947,Earth
7474 (1992 TC),False,0.6405528629,1.4323197447,9161.962416398,25755122.559610218,Earth
7480 Norwan (1994 PC),False,0.9474471126,2.118556149,30437.4345192835,13483498.251971103,Mars
7482 (1994 PC1),True,1.2721987854,2.844722965,68295.7911788888,12398722.77766941,Earth
7753 (1988 XB),True,0.6645917971,1.4860724357,56744.9140438883,12475400.587117676,Earth
7822 (1991 CS),True,0.9048049682,2.0232054153,68514.9696969829,14008925.001495387,Earth
7839 (1994 ND),False,0.7220295577,1.6145071727,53236.3089012617,45954603.35003594,Earth
7888 (1993 UC),False,2.4353140627,5.4455277909,82838.2220980585,25081782.606579367,Earth
